Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Austria,"8,390,450","6,745,560",80.40%,"453,060",5.40%,"1,132,650",13.50%,0,0.00%,"16,780",0.20%,0,0.00%,"8,390",0.10%,"16,780",0.20%
Croatia,"4,454,450","4,109,600",93.40%,"61,600",1.40%,"224,400",5.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Czech Republic,"10,490,000","2,444,170",23.3%,0,0.0%,"8,014,360",76.4%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Germany,"82,300,000","56,540,100",68.70%,"4,773,400",5.80%,"20,328,100",24.70%,0,0.00%,"246,900",0.30%,0,0.00%,"82,300",0.10%,"246,900",0.30%
Hungary,"9,980,000","8,083,800",81.00%,0,0.00%,"1,856,280",18.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"9,980",0.10%
Liechtenstein,"40,000","36,760",91.90%,"2,000",5.00%,"1,160",2.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,40,0.10%
Poland,"38,280,000","36,098,040",94.30%,0,0.00%,"2,143,680",5.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Romania,"21,490,000","21,382,550",99.50%,"64,470",0.30%,"21,490",0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Slovakia,"5,460,000","4,657,380",85.30%,"10,920",0.20%,"780,780",14.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Slovenia,"2,030,000","1,591,520",78.40%,"73,080",3.60%,"365,400",18.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Switzerland,"7,660,000","6,227,580",81.30%,"421,300",5.50%,"911,540",11.90%,"30,640",0.40%,"30,640",0.40%,0,0.00%,"7,660",0.10%,"22,980",0.30%
Total,"169,030,000","126,534,510",74.86%,"5,867,860",3.47%,"35,758,350",21.16%,"110,640",0.07%,"294,320",0.17%,"40,000",0.02%,"98,350",0.06%,"306,680",0.18%
